,stn_num,,prs_stn,prs_sea_lvl,prs_lvl_hgt,tmp_air_dry,tmp_air_wet,tmp_dew_pnt,hmd_rlt,wind_dir,wind_spd,cld_ttl_cvr,cld_low_cvr,cld_low_hgt,cld_low_type,cld_med_type,cld_high_type,weather_crr,weather_past_1,vis_code,,,,hour,,
5291411,6770,,920,,1505,27.1,20.5,16.9,54,290,3.5,0,0,9,0,0,0,5,0,60,,,,09:00,,
5291412,6770,,920.1,,1509,28.5,21.5,17.8,52,300,5.5,1,1,5,1,0,0,5,0,60,,,,12:00,,
5291413,6770,,919.7,,1502,26.6,21.1,18.2,60,290,5,0,0,9,0,0,0,,,63,,,,15:00,,
5291414,6770,,921.1,,1504,22.3,20,18.8,80,280,4,2,2,3,6,0,0,10,0,58,,,,18:00,,
5291415,6770,,921.3,,1507,22.7,16,11.1,48,290,4.5,0,0,9,0,0,0,,,60,,,,21:00,,
5291416,6770,,920.9,,1504,22.7,14.3,7.1,37,310,3.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291417,6770,,921.2,,1502,20.6,15.5,11.8,57,260,3,0,0,9,0,0,0,,,60,,,,03:00,,
5291418,6770,,921.7,,1512,22.9,17.4,13.8,57,240,2,0,0,9,0,0,0,,,65,,,,06:00,,
5291419,6770,,922.2,,1529,28.2,17,8.4,29,300,3.5,0,0,9,0,0,0,,,65,,,,09:00,,
5291420,6770,,921.2,,1521,29.1,20.3,15.2,43,280,3.5,0,0,9,0,0,0,,,62,,,,12:00,,
5291421,6770,,921.4,,1518,26,19.3,15.3,51,300,5,0,0,9,0,0,0,,,62,,,,15:00,,
5291422,6770,,922.2,,1514,22.1,20,18.9,82,290,4.5,2,2,3,6,0,0,10,0,56,,,,18:00,,
5291423,6770,,922.1,,1508,20.2,19.1,18.5,90,270,4,2,2,3,6,0,0,10,0,30,,,,21:00,,
5291424,6770,,921,,1498,19.9,18.3,17.4,85,280,6,1,1,3,6,0,0,10,0,30,,,,00:00,,
5291425,6770,,921,,1496,19,17.8,17.1,89,260,2.5,2,2,3,6,0,0,10,0,20,,,,03:00,,
5291426,6770,,920.7,,1507,25.3,15.9,8.5,34,300,2,0,0,9,0,0,0,,,65,,,,06:00,,
5291427,6770,,920.9,,1514,27.3,16.5,8,30,290,4,0,0,9,0,0,0,,,65,,,,09:00,,
5291428,6770,,919.5,,1505,28.8,17.3,8.7,28,250,4.5,0,0,9,0,0,0,,,65,,,,12:00,,
5291429,6770,,919.3,,1496,26,17.2,11,39,260,4.5,0,0,9,0,0,0,,,65,,,,15:00,,
5291430,6770,,919.8,,1494,21.7,19.4,18.1,80,260,3.5,0,0,9,0,0,0,10,0,58,,,,18:00,,
5291431,6770,,919.4,,1484,20.2,18.6,17.7,86,270,3.5,0,0,9,0,0,0,10,0,56,,,,21:00,,
5291432,6770,,918.2,,1470,19.3,18.2,17.6,90,260,4.5,2,2,3,6,0,0,10,0,30,,,,00:00,,
5291433,6770,,918.2,,1470,19.1,18.2,17.7,92,260,3.5,3,3,3,6,0,0,10,0,20,,,,03:00,,
5291434,6770,,918.5,,1479,21.5,19.1,17.8,79,260,3.5,2,2,4,1,0,0,10,4,57,,,,06:00,,
5291435,6770,,918.3,,1489,27.1,20.6,17.1,54,0,0,0,0,9,0,0,0,5,0,57,,,,09:00,,
5291436,6770,,917.8,,1490,29.5,21,16.3,45,0,0,2,2,5,1,0,0,5,1,57,,,,12:00,,
5291437,6770,,917.2,,1477,25.9,21.9,20,70,280,6,0,0,9,0,0,0,,,60,,,,15:00,,
5291438,6770,,918,,1477,23,20.8,19.7,82,280,4.5,0,0,9,0,0,0,,,60,,,,18:00,,
5291439,6770,,918.6,,1488,24.7,16,9.3,38,280,4.5,0,0,9,0,0,0,,,60,,,,21:00,,
5291440,6770,,918.2,,1480,23.5,16,10.4,44,290,1,0,0,9,0,0,0,,,60,,,,00:00,,
5291441,6770,,917.2,,1471,22.7,15.7,10.5,46,0,0,0,0,9,0,0,0,,,60,,,,03:00,,
5291442,6770,,918.2,,1487,26.5,16.8,9.6,35,220,2,0,0,9,0,0,0,,,65,,,,06:00,,
5291443,6770,,918.9,,1503,30.5,19.7,13,34,110,2,0,0,9,0,0,0,,,65,,,,09:00,,
5291444,6770,,918.6,,1500,30.6,17.8,8.2,25,280,4.5,2,2,5,1,0,0,,,65,,,,12:00,,
5291445,6770,,918.6,,1497,28.9,16.4,6.1,24,310,6,0,0,9,0,0,0,,,65,,,,15:00,,
5291446,6770,,919.2,,1495,26,16.4,9.1,34,310,4,0,0,9,0,0,0,,,60,,,,18:00,,
5291447,6770,,919.2,,1494,25.4,15.4,7.1,31,310,2.5,0,0,9,0,0,0,,,60,,,,21:00,,
5291448,6770,,919.2,,1491,23.9,14.9,7.4,35,290,4.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291449,6770,,919.9,,1494,22.5,14,6.5,36,280,4,0,0,9,0,0,0,,,60,,,,03:00,,
5291450,6770,,921.2,,1512,25.2,15,6.2,30,280,3,0,0,9,0,0,0,,,65,,,,06:00,,
5291451,6770,,921.1,,1519,28.3,19.2,13.5,40,290,3.5,0,0,9,0,0,0,,,65,,,,09:00,,
5291452,6770,,920.5,,1513,28.5,20,15,44,290,3.5,2,2,5,1,0,0,,,62,,,,12:00,,
5291453,6770,,919.9,,1502,26.4,20.1,16.6,55,280,5,0,0,9,0,0,0,,,63,,,,15:00,,
5291454,6770,,920.7,,1501,21.8,19.6,18.4,81,280,5,2,2,4,6,0,0,,,60,,,,18:00,,
5291455,6770,,921.9,,1506,19.9,18.4,17.5,86,290,4.5,2,2,4,6,0,0,,,60,,,,21:00,,
5291456,6770,,921,,1497,19.4,18.2,17.5,89,290,7,4,4,4,6,0,0,10,,57,,,,00:00,,
5291457,6770,,920.9,,1497,19.6,18.2,17.4,87,290,4,4,4,3,6,0,0,10,1,57,,,,03:00,,
5291458,6770,,921.9,,1511,21.8,16.4,12.6,56,320,4,2,2,4,8,0,0,5,1,58,,,,06:00,,
5291459,6770,,922,,1522,26.2,18.2,13,44,310,5,1,1,5,1,0,0,,,63,,,,09:00,,
5291460,6770,,921,,1515,27.4,18.4,12.5,40,310,5,0,0,9,0,0,0,,,63,,,,12:00,,
5291461,6770,,920.2,,1503,25.3,18.2,13.7,48,290,5,0,0,9,0,0,0,,,65,,,,15:00,,
5291462,6770,,921.7,,1508,21.1,18.6,17.2,78,280,5,0,0,9,0,0,0,,,62,,,,18:00,,
5291463,6770,,921.2,,1500,19.5,17.5,16.3,82,280,4,0,0,9,0,0,0,,,62,,,,21:00,,
5291464,6770,,920.8,,1493,18.4,16.2,14.8,79,280,4.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291465,6770,,920.5,,1489,18.1,16.4,15.3,84,310,3.5,0,0,9,0,0,0,,,60,,,,03:00,,
5291466,6770,,921.2,,1503,21,17.2,14.8,68,360,4,3,3,4,1,0,0,5,0,58,,,,06:00,,
5291467,6770,,921,,1510,25,17.7,12.9,47,330,4,0,0,9,0,0,0,,,65,,,,09:00,,
5291468,6770,,920,,1505,27.2,18.6,13.1,42,300,4.5,0,0,9,0,0,0,,,63,,,,12:00,,
5291469,6770,,919.5,,1496,24.7,17,11.6,44,320,6.5,0,0,9,0,0,0,,,65,,,,15:00,,
5291470,6770,,921,,1501,21.2,18.2,16.4,74,290,5.5,0,0,9,0,0,0,,,60,,,,18:00,,
5291471,6770,,920.9,,1492,19.6,18.2,17.4,87,270,5,2,2,3,6,0,0,10,0,58,,,,21:00,,
5291472,6770,,919.6,,1483,19.1,17.7,16.9,87,280,3,3,3,3,8,0,0,10,0,57,,,,00:00,,
5291473,6770,,919.2,,1477,18.3,17.2,16.5,89,280,5,3,3,3,6,0,0,10,0,50,,,,03:00,,
5291474,6770,,919.3,,1485,20.8,17.6,15.6,72,250,2,2,2,4,8,0,0,10,0,58,,,,06:00,,
5291475,6770,,919.1,,1494,26,17.2,11,39,260,3,0,0,9,0,0,0,,,65,,,,09:00,,
5291476,6770,,917.9,,1485,28,19.1,13.5,41,280,4.5,1,1,5,1,0,0,,,65,,,,12:00,,
5291477,6770,,917.2,,1477,25.6,17.7,12.4,43,270,3,0,0,9,0,0,0,,,65,,,,15:00,,
5291478,6770,,918.4,,1477,21,18.5,17.1,78,280,5,0,0,9,0,0,0,,,60,,,,18:00,,
5291479,6770,,918.1,,1475,21.3,15,10.2,49,270,3.5,0,0,9,0,0,0,,,60,,,,21:00,,
5291480,6770,,917.6,,1467,20.3,14.6,10.2,52,270,4.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291481,6770,,917.6,,1463,18.2,17.4,16.9,92,270,4,6,6,3,6,0,0,10,0,50,,,,03:00,,
5291482,6770,,918.4,,1479,21.6,18.1,16,70,320,2.5,1,1,4,2,0,0,10,2,58,,,,06:00,,
5291483,6770,,918.8,,1489,25.2,18.2,13.7,49,10,1.5,3,3,5,8,0,0,,,63,,,,09:00,,
5291484,6770,,918.5,,1489,26.5,18.5,13.4,44,280,2.5,5,5,5,8,0,0,,,65,,,,12:00,,
5291485,6770,,917.9,,1481,24.8,20,17.4,63,310,5,1,1,5,1,0,0,5,1,58,,,,15:00,,
5291486,6770,,919.1,,1480,20.6,19,18.1,86,300,6,0,0,9,0,0,0,,,60,,,,18:00,,
5291487,6770,,919.3,,1484,20.5,16.1,13.1,62,320,5.5,0,0,9,0,0,0,,,60,,,,21:00,,
5291488,6770,,919.3,,1482,19.4,18,17.2,87,310,4.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291489,6770,,919.3,,1481,19.1,17.9,17.2,89,310,4.5,2,2,4,6,0,0,,,60,,,,03:00,,
5291490,6770,,920,,1494,22,17,13.7,59,330,5.5,1,1,5,1,0,0,,,65,,,,06:00,,
5291491,6770,,920.6,,1504,25.8,16.1,8.5,33,320,5,0,0,9,0,0,0,,,65,,,,09:00,,
5291492,6770,,919,,1497,27.5,16.8,8.7,31,320,4,0,0,9,0,0,0,,,65,,,,12:00,,
5291493,6770,,919,,1491,25.1,17,11.3,42,320,6,0,0,9,0,0,0,,,65,,,,15:00,,
5291494,6770,,919.5,,1488,21.3,16.8,13.8,62,310,7.5,0,0,9,0,0,0,,,65,,,,18:00,,
5291495,6770,,920.1,,1496,19.6,17.8,16.7,83,310,4.5,2,2,9,0,3,0,,,62,,,,21:00,,
5291496,6770,,919.5,,1484,19.6,17.5,16.2,81,330,5.7,6,6,3,6,10,10,10,0,57,,,,00:00,,
5291497,6770,,919.5,,1481,18.6,17.2,16.3,87,330,2.5,6,6,3,6,10,10,10,0,57,,,,03:00,,
5291498,6770,,920.2,,1496,21.8,17,13.8,61,290,3.5,0,0,9,0,0,0,,,65,,,,06:00,,
5291499,6770,,920.2,,1503,24.8,17.8,13.2,48,300,5,2,2,5,1,0,0,,,65,,,,09:00,,
5291500,6770,,919.5,,1503,26.3,18.6,13.7,46,300,5,0,0,9,0,0,0,,,68,,,,12:00,,
5291501,6770,,919.2,,1492,24.5,16.9,11.6,44,310,7,0,0,9,0,0,0,,,60,,,,15:00,,
5291502,6770,,919.8,,1489,20.5,18,16.5,78,280,6,0,0,9,0,0,0,,,65,,,,18:00,,
5291503,6770,,920,,1490,20.2,17,15,72,300,4.5,0,0,9,0,0,0,,,65,,,,21:00,,
5291504,6770,,919.3,,1485,21,13.8,7.6,42,300,5.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291505,6770,,919.3,,1487,21.6,11.3,-0.7,23,260,2.5,0,0,9,0,0,0,,,65,,,,03:00,,
5291506,6770,,919.3,,1496,25.9,13.9,1.9,21,260,2.5,0,0,9,0,0,0,,,65,,,,06:00,,
5291507,6770,,919.3,,1506,29.9,15.1,0.3,15,260,3,0,0,9,0,0,0,,,65,,,,09:00,,
5291508,6770,,918.7,,1502,30.6,15.7,1.5,16,230,5,0,0,9,0,0,0,,,65,,,,12:00,,
5291509,6770,,918.5,,1493,27.7,16.2,6.8,26,270,4,0,0,9,0,0,0,,,65,,,,15:00,,
5291510,6770,,919,,1490,24.6,13.8,3.4,25,270,5.5,0,0,9,0,0,0,,,60,,,,18:00,,
5291511,6770,,918.7,,1482,21.3,15.1,10.4,50,260,5.5,0,0,9,0,0,0,,,65,,,,21:00,,
5291512,6770,,918.5,,1474,19.5,18.2,17.5,88,270,3.5,5,5,3,6,0,0,10,0,57,,,,00:00,,
5291513,6770,,919.6,,1483,19.2,18,17.3,89,230,1.5,4,4,3,6,0,0,10,1,58,,,,03:00,,
5291514,6770,,920.6,,1497,21.3,18.1,16.2,73,270,2,5,5,4,8,0,0,10,2,58,,,,06:00,,
5291515,6770,,920.5,,1508,25.5,18.8,14.7,51,240,3,1,1,5,1,0,0,,,65,,,,09:00,,
5291516,6770,,920,,1505,27.3,20.2,16.2,51,290,5,1,1,5,1,0,0,,,65,,,,12:00,,
5291517,6770,,919.9,,1497,24.2,18.6,15.2,57,260,5,1,1,5,1,0,0,,,65,,,,15:00,,
5291518,6770,,920.9,,1499,20.6,19,18.1,86,290,5.5,3,3,3,6,0,0,10,0,58,,,,18:00,,
5291519,6770,,920.9,,1497,19.6,18.4,17.7,89,280,3,5,5,3,6,0,0,10,0,56,,,,21:00,,
5291520,6770,,920.7,,1494,18.8,17.7,17.1,90,280,4.5,4,4,3,6,0,0,10,1,56,,,,00:00,,
5291521,6770,,921.1,,1496,18.7,17.4,16.6,88,280,2.5,4,4,4,8,0,0,10,1,58,,,,03:00,,
5291522,6770,,920.5,,1496,21.3,18.2,16.4,73,280,3,1,1,4,8,0,0,,,62,,,,06:00,,
5291523,6770,,920.3,,1506,25.9,18.9,14.6,50,310,3,1,1,5,1,0,0,,,65,,,,09:00,,
5291524,6770,,919.3,,1496,26,20.2,17,58,290,5.5,1,1,5,1,0,0,,,62,,,,12:00,,
5291525,6770,,919.2,,1495,24.8,20.2,17.7,64,280,6.5,1,1,5,1,0,0,,,62,,,,15:00,,
5291526,6770,,920.3,,1495,21.4,19.8,19,86,290,5,4,4,3,6,0,0,10,0,50,,,,18:00,,
5291527,6770,,920.3,,1493,20.5,18.2,16.9,80,280,5,0,0,9,0,0,0,10,0,50,,,,21:00,,
5291528,6770,,920.2,,1490,19.7,17.6,16.3,81,270,5,2,2,3,6,0,0,10,,50,,,,00:00,,
5291529,6770,,919.9,,1490,20.6,14.3,9.2,48,280,4.5,0,0,9,0,0,0,,,60,,,,03:00,,
5291530,6770,,919.5,,1489,22.1,18.3,16,68,280,3,0,0,9,0,0,0,,,65,,,,06:00,,
5291531,6770,,920,,1505,26.6,18.7,13.7,45,270,3,0,0,9,0,0,0,,,65,,,,09:00,,
5291532,6770,,918.9,,1497,28.5,18.5,11.8,36,290,5.5,0,0,9,0,0,0,,,65,,,,12:00,,
5291533,6770,,919.1,,1494,26.5,19,14.4,47,300,6,0,0,9,0,0,0,,,65,,,,15:00,,
5291534,6770,,920.6,,1499,21.7,17.7,15.2,67,280,4,0,0,9,0,0,0,,,60,,,,18:00,,
5291535,6770,,919.7,,1494,23.3,14.6,7.2,36,290,4.5,0,0,9,0,0,0,,,60,,,,21:00,,
5291536,6770,,919.2,,1486,21.9,13.9,6.9,38,260,2.5,0,0,9,0,0,0,,,60,,,,00:00,,
5291537,6770,,919.2,,1481,19.5,16,13.6,69,260,3,0,0,9,0,0,0,,,60,,,,03:00,,
5291538,6770,,919.6,,1491,22.3,16.7,12.9,55,270,4.5,0,0,9,0,0,0,,,65,,,,06:00,,
5291539,6770,,920.4,,1508,26.4,17.3,10.9,38,260,3.5,0,0,9,0,0,0,,,65,,,,09:00,,
5291540,6770,,919.6,,1504,28,17.3,9.4,31,240,4.5,0,0,9,0,0,0,,,68,,,,12:00,,
5291541,6770,,919.2,,1493,24.9,18.2,14,51,260,6,0,0,9,0,0,0,,,65,,,,15:00,,
5291542,6770,,920.9,,1499,20.3,18.8,18,86,270,4.5,2,2,4,1,0,0,,,60,,,,18:00,,
5291543,6770,,921.7,,1504,19.6,18.2,17.4,87,250,1.5,2,2,4,6,0,0,10,0,58,,,,21:00,,
5291544,6770,,921.7,,1503,18.9,18.1,17.6,92,270,3.5,7,7,3,6,10,10,10,0,56,,,,00:00,,
5291545,6770,,922.2,,1506,18.6,17.4,16.7,89,270,3,5,5,4,6,0,0,10,2,57,,,,03:00,,
5291546,6770,,923.5,,1524,20.8,17.7,15.8,73,320,1.5,2,2,4,1,0,0,10,1,59,,,,06:00,,
5291547,6770,,924,,1541,26,18,12.7,44,310,2,0,0,9,0,0,0,,,65,,,,09:00,,
5291548,6770,,924,,1544,27.3,19.3,14.4,45,260,3,1,1,5,1,0,0,,,65,,,,12:00,,
5291549,6770,,923.5,,1535,25.5,17.6,12.2,44,310,4.5,0,0,9,0,0,0,,,65,,,,15:00,,
5291550,6770,,924.1,,1529,21.2,15.3,10.9,52,300,3.5,0,0,9,0,0,0,,,65,,,,18:00,,
